crd,name,reference_id,compliance_flag,alert_count,file_path
107660,WOODLEY FARRA,EN-107356,True,0,cache/EN-107356/FirmComplianceReport_EN-107356_v1_20250707.json
107757,"PINNACLE ADVISORY GROUP, INC.",EN-022430,False,2,cache/EN-022430/FirmComplianceReport_EN-022430_v1_20250707.json
107784,NORTHSIDE CAPITAL MANAGEMENT LLC,EN-020681,True,0,cache/EN-020681/FirmComplianceReport_EN-020681_v1_20250707.json
107808,"BOYD WATTERSON ASSET MANAGEMENT, LLC",EN-020529,True,0,cache/EN-020529/FirmComplianceReport_EN-020529_v1_20250707.json
107876,HAMILTON LANE,EN-016875,True,0,cache/EN-016875/FirmComplianceReport_EN-016875_v1_20250707.json
107880,CANYON PARTNERS REAL ESTATE LLC,EN-119715,True,0,cache/EN-119715/FirmComplianceReport_EN-119715_v1_20250707.json
107916,CABOT-WELLINGTON LLC,EN-025031,False,2,cache/EN-025031/FirmComplianceReport_EN-025031_v1_20250707.json
107922,CANYON CAPITAL ADVISORS LLC,EN-022259,True,0,cache/EN-022259/FirmComplianceReport_EN-022259_v1_20250707.json
107994,"ABACUS PLANNING GROUP, INC.",EN-017640,True,0,cache/EN-017640/FirmComplianceReport_EN-017640_v1_20250707.json
108063,PILLAR PACIFIC CAPITAL MANAGEMENT LLC,EN-022722,False,2,cache/EN-022722/FirmComplianceReport_EN-022722_v1_20250707.json
108063,PILLAR PACIFIC CAPITAL MANAGEMENT LLC,EN-023132,False,2,cache/EN-023132/FirmComplianceReport_EN-023132_v1_20250707.json
108067,MCLEAN ASSET MANAGEMENT CORP.,EN-017785,True,0,cache/EN-017785/FirmComplianceReport_EN-017785_v1_20250707.json
108163,SEIA,EN-024893,True,0,cache/EN-024893/FirmComplianceReport_EN-024893_v1_20250707.json
108345,BEAUMONT FINANCIAL PARTNERS LLC,EN-025488,False,2,cache/EN-025488/FirmComplianceReport_EN-025488_v1_20250707.json
108353,"WILLIAM HARRIS INVESTORS, INC.",EN-039062,False,2,cache/EN-039062/FirmComplianceReport_EN-039062_v1_20250707.json
108400,"GUYASUTA INVESTMENT ADVISORS, INCORPORATED",EN-024683,True,0,cache/EN-024683/FirmComplianceReport_EN-024683_v1_20250707.json
108400,"GUYASUTA INVESTMENT ADVISORS, INCORPORATED",EN-023357,True,0,cache/EN-023357/FirmComplianceReport_EN-023357_v1_20250707.json
108477,ALLIANCEBERNSTEIN L.P.,EN-105232,True,0,cache/EN-105232/FirmComplianceReport_EN-105232_v1_20250707.json
108477,ALLIANCEBERNSTEIN L.P.,EN-019404,True,0,cache/EN-019404/FirmComplianceReport_EN-019404_v1_20250707.json
108545,COURT PLACE ADVISORS LLC,EN-020324,True,0,cache/EN-020324/FirmComplianceReport_EN-020324_v1_20250707.json
108581,CRESTONE ASSET MANAGEMENT LLC,EN-017322,False,2,cache/EN-017322/FirmComplianceReport_EN-017322_v1_20250707.json
108601,BRIGHTON JONES LLC,EN-018318,True,0,cache/EN-018318/FirmComplianceReport_EN-018318_v1_20250707.json
108601,BRIGHTON JONES LLC,EN-022824,True,0,cache/EN-022824/FirmComplianceReport_EN-022824_v1_20250707.json
108604,LADENBURG THALMANN ASSET MANAGEMENT INC,EN-021610,True,0,cache/EN-021610/FirmComplianceReport_EN-021610_v1_20250707.json
108604,LADENBURG THALMANN ASSET MANAGEMENT INC,EN-015104,True,0,cache/EN-015104/FirmComplianceReport_EN-015104_v1_20250707.json
108648,MEIRA WEALTH,EN-015270,True,0,cache/EN-015270/FirmComplianceReport_EN-015270_v1_20250707.json
108652,"ENDOWMENT WEALTH MANAGEMENT, INC.",EN-019449,True,0,cache/EN-019449/FirmComplianceReport_EN-019449_v1_20250707.json
108668,"GRESHAM PARTNERS, LLC",EN-021239,True,0,cache/EN-021239/FirmComplianceReport_EN-021239_v1_20250707.json
109104,"EDGEMOOR INVESTMENT ADVISORS, INC.",EN-014311,True,0,cache/EN-014311/FirmComplianceReport_EN-014311_v1_20250707.json
109127,PORTLAND GLOBAL ADVISORS LLC,EN-020288,True,0,cache/EN-020288/FirmComplianceReport_EN-020288_v1_20250707.json
109143,"INDEX FUND ADVISORS, INC.",EN-016671,True,0,cache/EN-016671/FirmComplianceReport_EN-016671_v1_20250707.json
109229,EXCEL CAPITAL MANAGEMENT CORP,EN-022358,True,0,cache/EN-022358/FirmComplianceReport_EN-022358_v1_20250707.json
109242,"AKRE CAPITAL MANAGEMENT, LLC",EN-022803,True,0,cache/EN-022803/FirmComplianceReport_EN-022803_v1_20250707.json
109330,IRONWOOD CAPITAL MANAGEMENT CORP,EN-019367,True,0,cache/EN-019367/FirmComplianceReport_EN-019367_v1_20250707.json
109361,BUFFINGTON MOHR MCNEAL,EN-015174,False,2,cache/EN-015174/FirmComplianceReport_EN-015174_v1_20250707.json
109368,"COMMUNITY CAPITAL MANAGEMENT, LLC",EN-125099,True,0,cache/EN-125099/FirmComplianceReport_EN-125099_v1_20250707.json
109420,GRIMES & COMPANY,EN-020619,True,0,cache/EN-020619/FirmComplianceReport_EN-020619_v1_20250707.json
109479,TILLMAN HARTLEY LLC,EN-022960,True,0,cache/EN-022960/FirmComplianceReport_EN-022960_v1_20250707.json
109582,NORTHCOAST ASSET MANAGEMENT LLC,EN-023646,False,2,cache/EN-023646/FirmComplianceReport_EN-023646_v1_20250707.json
109644,"CIBC PRIVATE WEALTH ADVISORS, INC.",EN-111566,True,0,cache/EN-111566/FirmComplianceReport_EN-111566_v1_20250707.json
109644,"CIBC PRIVATE WEALTH ADVISORS, INC.",EN-019125,True,0,cache/EN-019125/FirmComplianceReport_EN-019125_v1_20250707.json
109644,"CIBC PRIVATE WEALTH ADVISORS, INC.",EN-023913,True,0,cache/EN-023913/FirmComplianceReport_EN-023913_v1_20250707.json
109651,CHURCHILL MANAGEMENT GROUP,EN-019718,True,0,cache/EN-019718/FirmComplianceReport_EN-019718_v1_20250707.json
109688,"BBR PARTNERS, LLC",EN-016950,True,0,cache/EN-016950/FirmComplianceReport_EN-016950_v1_20250707.json
109698,EVENSKY & KATZ/FOLDES WEALTH MANAGEMENT,EN-025403,True,0,cache/EN-025403/FirmComplianceReport_EN-025403_v1_20250707.json
109762,CAPITAL DIRECTIONS LLC,EN-019305,False,2,cache/EN-019305/FirmComplianceReport_EN-019305_v1_20250707.json
109807,"MAI CAPITAL MANAGEMENT, LLC",EN-020122,True,0,cache/EN-020122/FirmComplianceReport_EN-020122_v1_20250707.json
109846,"HARBOURVEST PARTNERS, LLC",EN-014880,True,0,cache/EN-014880/FirmComplianceReport_EN-014880_v1_20250707.json
109930,COMPAK ASSET MANAGEMENT,EN-024480,True,0,cache/EN-024480/FirmComplianceReport_EN-024480_v1_20250707.json
109971,"WMS PARTNERS, LLC",EN-022898,False,2,cache/EN-022898/FirmComplianceReport_EN-022898_v1_20250707.json
110003,MANCHESTER CAPITAL MANAGEMENT LLC,EN-019968,True,0,cache/EN-019968/FirmComplianceReport_EN-019968_v1_20250707.json
110057,URBAN FINANCIAL ADVISORY CORPORATION,EN-019338,True,0,cache/EN-019338/FirmComplianceReport_EN-019338_v1_20250707.json
110069,OBERMEYER WEALTH PARTNERS,EN-110729,True,0,cache/EN-110729/FirmComplianceReport_EN-110729_v1_20250707.json
110148,"STARWOOD CAPITAL GROUP MANAGEMENT, L.L.C.",EN-016442,True,0,cache/EN-016442/FirmComplianceReport_EN-016442_v1_20250707.json
110181,BROWN ADVISORY,test-ref-110181,True,0,cache/BIZ_110181/FirmComplianceReport_test-ref-110181_v1_20250724.json
110181,BROWN ADVISORY,EN-013329,True,0,cache/EN-013329/FirmComplianceReport_EN-013329_v1_20250707.json
110257,"COLONIAL TRUST ADVISORS, INC.",EN-014165,True,0,cache/EN-014165/FirmComplianceReport_EN-014165_v1_20250707.json
110271,CRAWFORD INVESTMENT COUNSEL INC,EN-023079,True,0,cache/EN-023079/FirmComplianceReport_EN-023079_v1_20250707.json
110271,CRAWFORD INVESTMENT COUNSEL INC,EN-020848,True,0,cache/EN-020848/FirmComplianceReport_EN-020848_v1_20250707.json
110281,OBRIEN GREENE & CO INC,EN-023629,True,0,cache/EN-023629/FirmComplianceReport_EN-023629_v1_20250707.json
110361,NORTHEAST FINANCIAL,EN-020569,True,0,cache/EN-020569/FirmComplianceReport_EN-020569_v1_20250707.json
110397,ZWJ INVESTMENT COUNSEL INC,test-ref-110397,True,0,cache/BIZ_110397/FirmComplianceReport_test-ref-110397_v1_20250729.json
110407,WASHINGTON TRUST ADVISORS,EN-025394,True,0,cache/EN-025394/FirmComplianceReport_EN-025394_v1_20250707.json
110497,BROOKFIELD PUBLIC SECURITIES GROUP LLC,EN-112373,True,0,cache/EN-112373/FirmComplianceReport_EN-112373_v1_20250707.json
110522,BALLEW ADVISORS INC,EN-023917,True,0,cache/EN-023917/FirmComplianceReport_EN-023917_v1_20250707.json
110539,"WINDHAM CAPITAL MANAGEMENT, LLC",EN-024005,False,2,cache/EN-024005/FirmComplianceReport_EN-024005_v1_20250707.json
110575,"QUANTITATIVE ADVANTAGE, LLC",EN-014694,False,2,cache/EN-014694/FirmComplianceReport_EN-014694_v1_20250707.json
110608,"BROWNSON, REHMUS & FOXWORTH, INC.",EN-014135,True,0,cache/EN-014135/FirmComplianceReport_EN-014135_v1_20250707.json
110631,"PINNACLE ASSOCIATES, LTD.",EN-014757,True,0,cache/EN-014757/FirmComplianceReport_EN-014757_v1_20250707.json
110692,SPC,EN-015476,True,0,cache/EN-015476/FirmComplianceReport_EN-015476_v1_20250707.json
110742,CHEVY CHASE TRUST COMPANY,EN-018156,True,0,cache/EN-018156/FirmComplianceReport_EN-018156_v1_20250707.json
110826,EAGLE STRATEGIES LLC,EN-016010,True,0,cache/EN-016010/FirmComplianceReport_EN-016010_v1_20250707.json
110897,"ZACKS INVESTMENT MANAGEMENT, INC.",EN-021105,True,0,cache/EN-021105/FirmComplianceReport_EN-021105_v1_20250707.json
110905,"FORVIS MAZARS WEALTH ADVISORS, LLC",EN-024666,True,0,cache/EN-024666/FirmComplianceReport_EN-024666_v1_20250707.json
110985,COLCHESTER GLOBAL INVESTORS,EN-014798,True,0,cache/EN-014798/FirmComplianceReport_EN-014798_v1_20250707.json
111033,PITTENGER & ANDERSON INC,EN-024332,True,0,cache/EN-024332/FirmComplianceReport_EN-024332_v1_20250707.json
111052,"TLG ADVISORS, INC.",EN-015653,True,0,cache/EN-015653/FirmComplianceReport_EN-015653_v1_20250707.json
111077,ARBOR INVESTMENT ADVISORS,EN-024977,True,0,cache/EN-024977/FirmComplianceReport_EN-024977_v1_20250707.json
111090,"FINANCIAL SENSE ADVISORS, INC.",EN-015321,True,0,cache/EN-015321/FirmComplianceReport_EN-015321_v1_20250707.json
111128,THE CARLYLE GROUP,EN-039251,True,0,cache/EN-039251/FirmComplianceReport_EN-039251_v1_20250707.json
11113,EN-017392,EN-017392,False,4,cache/EN-017392/FirmComplianceReport_EN-017392_v1_20250707.json
111147,EP WEALTH ADVISORS,EN-018177,True,0,cache/EN-018177/FirmComplianceReport_EN-018177_v1_20250707.json
111147,EP WEALTH ADVISORS,EN-025143,True,0,cache/EN-025143/FirmComplianceReport_EN-025143_v1_20250707.json
111167,"ALLWORTH FINANCIAL, L.P.",EN-019482,True,0,cache/EN-019482/FirmComplianceReport_EN-019482_v1_20250707.json
111231,BROWN BROTHERS HARRIMAN MUTUAL FUND ADVISORY DEPARTMENT,EN-015077,True,0,cache/EN-015077/FirmComplianceReport_EN-015077_v1_20250707.json
111295,"SAND HILL GLOBAL ADVISORS, LLC",EN-016404,True,0,cache/EN-016404/FirmComplianceReport_EN-016404_v1_20250707.json
111303,ALPINE CAPITAL STRATEGIES LLC,EN-110984,True,0,cache/EN-110984/FirmComplianceReport_EN-110984_v1_20250707.json
111304,ROUND TABLE WEALTH MANAGEMENT,EN-022470,False,2,cache/EN-022470/FirmComplianceReport_EN-022470_v1_20250707.json
111908,"MONUMENT GROUP WEALTH ADVISORS, LLC",EN-018145,True,0,cache/EN-018145/FirmComplianceReport_EN-018145_v1_20250707.json
112266,"ADVISORS CAPITAL MANAGEMENT, LLC",EN-017649,True,0,cache/EN-017649/FirmComplianceReport_EN-017649_v1_20250707.json
112360,BOSTON FINANCIAL MANAGEMENT LLC,EN-013579,True,0,cache/EN-013579/FirmComplianceReport_EN-013579_v1_20250707.json
112486,"IAS WEALTH MANAGEMENT, INC.",EN-014707,True,0,cache/EN-014707/FirmComplianceReport_EN-014707_v1_20250707.json
112641,LUCIEN STIRLING & GRAY ADVISORY GROUP INC,EN-114367,True,0,cache/EN-114367/FirmComplianceReport_EN-114367_v1_20250707.json
112753,GOLDENTREE ASSET MANAGEMENT LP,EN-117063,True,0,cache/EN-117063/FirmComplianceReport_EN-117063_v1_20250707.json
112753,GOLDENTREE ASSET MANAGEMENT LP,EN-016986,True,0,cache/EN-016986/FirmComplianceReport_EN-016986_v1_20250707.json
112758,"SIGNATUREFD, LLC",EN-015936,True,0,cache/EN-015936/FirmComplianceReport_EN-015936_v1_20250707.json
112758,"SIGNATUREFD, LLC",EN-019877,True,0,cache/EN-019877/FirmComplianceReport_EN-019877_v1_20250707.json
112758,"SIGNATUREFD, LLC",EN-016770,True,0,cache/EN-016770/FirmComplianceReport_EN-016770_v1_20250707.json
113057,"MISSION WEALTH MANAGEMENT, LP",EN-018023,True,0,cache/EN-018023/FirmComplianceReport_EN-018023_v1_20250707.json
113098,GOULD ASSET MANAGEMENT LLC,EN-015069,True,0,cache/EN-015069/FirmComplianceReport_EN-015069_v1_20250707.json
113216,COLORADO FINANCIAL MANAGEMENT LLC,EN-022486,False,2,cache/EN-022486/FirmComplianceReport_EN-022486_v1_20250707.json
